drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
refchem:57166,[68ga]ga-psma,[68Ga]Ga-PSMA,0
refchem:57768,trastuzumab-qyyp,trastuzumab-qyyp,0
refchem:577762,clomiphene citrate,clomiphene citrate,0
refchem:57957,tlc178,TLC178,0
refchem:590526,ebastine,Ebastine,0
refchem:6117,pcb,pcb,0
refchem:6463,metformin,metformin,0
refchem:6697,trastuzumab-qyyp,trastuzumab-qyyp,0
refchem:66979,activated charcoal,Activated Charcoal,0
refchem:810811,mebeverine,mebeverine,0
refchem:858209,toluenesulfonamide,toluenesulfonamide,0
refchem:858298,zio-201-t,ZIO-201-T,0
refchem:891303,trastuzumab-qyyp,trastuzumab-qyyp,0
refchem:920548,selenomethionine,Selenomethionine,0
reference product: fluorouracil 5% of mylan pharmaceuticals inc.,trastuzumab-qyyp,trastuzumab-qyyp,0
reflucil,mosapride,mosapride,0
regenecyte™,...,...,0
regional chemotherapy,n/a,N/A,0
reinduction,n/a,N/A,0
releasing hormone agonist therapy,...,...,0
relefact,gonadorelin,gonadorelin,0
relefact lh-rh,gonadorelin,gonadorelin,0
reliable gentle laxative,bisacodyl,bisacodyl,0
relisorm,gonadorelin,gonadorelin,0
relisorm l,gonadorelin,gonadorelin,0
remeven,urea,urea,0
remission induction therapy,n/a,N/A,0
remogliflozin etabonate,see alternative names,See alternative names,0
reno,diatrizoate,diatrizoate,0
reno-30,diatrizoate,diatrizoate,0
reno-60,diatrizoate,diatrizoate,0
reno-dip,diatrizoate,diatrizoate,0
renocal 76,diatrizoate,diatrizoate,0
renocal-76,diatrizoate,diatrizoate,0
renografin-60,diatrizoate,diatrizoate,0
renovist,diatrizoate,diatrizoate,0
renovist ii,diatrizoate,diatrizoate,0
reomen,clomiphene citrate,clomiphene citrate,0
repatha (evolocumab),...,...,0
replicative adenovirus vector,...,...,0
rescue therapy,n/a,N/A,0
research drug in combination,not applicable,Not applicable,0
resorcinol phthalein sodium,fluorescein sodium,fluorescein sodium,0
retinofluor,fluorescein sodium,fluorescein sodium,0
retro-6-dehydroprogesterone,dydrogesterone,dydrogesterone,0
retrone,dydrogesterone,dydrogesterone,0
retronectin,...,...,0
retronectin active killer cells,...,...,0
revaccination after transplant,...,...,0
revamid,velcade thalidomide dexamethasone,Velcade Thalidomide Dexamethasone,0
revatio,...,...,0
revimmune,cyclophosphamide,cyclophosphamide,0
revitalose-c-1000,vitamin c,vitamin c,0
revitonus c-1000 yellow ampule,vitamin c,vitamin c,0
revlamid®,velcade thalidomide dexamethasone,Velcade Thalidomide Dexamethasone,0
rezpegaldesleukin,...,...,0
