nct_id,drug_name_in_trial,resolves_to_bucket
NCT03032406,everolimus,trastuzumab-qyyp
NCT03032783,cyclophosphamide,cyclophosphamide
NCT03034135,temozolomide,temozolomide
NCT03036488,cyclophosphamide,cyclophosphamide
NCT03036904,cyclophosphamide,cyclophosphamide
NCT03036904,venetoclax,trastuzumab-qyyp
NCT03037437,Hydroxychloroquine,trastuzumab-qyyp
NCT03040973,Osimertinib,trastuzumab-qyyp
NCT03041688,Venetoclax,trastuzumab-qyyp
NCT03043547,nal-iri,irinotecan
NCT03043924,estradiol,estradiol
NCT03044587,Arm Cisplatin,trastuzumab-qyyp
NCT03045328,venetoclax,trastuzumab-qyyp
NCT03046953,avelumab,trastuzumab-qyyp
NCT03047473,avelumab,trastuzumab-qyyp
NCT03049189,Everolimus,trastuzumab-qyyp
NCT03049449,cyclophosphamide,cyclophosphamide
NCT03049735,estradiol,estradiol
NCT03053544,metformin,metformin
NCT03056339,cyclophosphamide,cyclophosphamide
NCT03057054,lactobacillus plantarum,lactobacillus
NCT03061539,Nivolumab & Ipilimumab,da-epoch-r followed by nivolumab
NCT03061812,dexamethasone,dexamethasone
NCT03062943,nintedanib,da-epoch-r followed by nivolumab
NCT03063073,Bupivacaine [Marcaine],bupivacaine liposome
NCT03063944,venetoclax,trastuzumab-qyyp
NCT03064867,venetoclax,trastuzumab-qyyp
NCT03065387,everolimus,trastuzumab-qyyp
NCT03066947,cyclophosphamide,cyclophosphamide
NCT03067792,irinotecan,irinotecan
NCT03069326,Thalidomide,velcade thalidomide dexamethasone
NCT03069352,venetoclax,trastuzumab-qyyp
NCT03070301,everolimus,trastuzumab-qyyp
NCT03070327,Lenalidomide.,velcade thalidomide dexamethasone
NCT03070327,cyclophosphamide,cyclophosphamide
NCT03070392,IMCgp100,gp100 human melanoma peptide
NCT03072238,prednisolone,prednisolone
NCT03076554,Avelumab,trastuzumab-qyyp
NCT03077243,Cisplatin (,trastuzumab-qyyp
NCT03077659,NanoPac,trastuzumab-qyyp
NCT03077685,NanoPac,trastuzumab-qyyp
NCT03079219,dexamethasone,dexamethasone
NCT03081143,FOLFIRI,trastuzumab-qyyp
NCT03081689,Carboplatin AUC 6,trastuzumab-qyyp
NCT03081702,Hydroxychloroquine,trastuzumab-qyyp
NCT03082209,venetoclax,trastuzumab-qyyp
NCT03082846,Temozolomide chemotherapy,temozolomide
NCT03083873,LN-145,...
NCT03084536,bupivacaine,bupivacaine liposome
NCT03085004,Gemcitabine admixture,trastuzumab-qyyp
NCT03085173,4-1BBL CAR T cells,...
NCT03085914,cyclophosphamide,cyclophosphamide
NCT03086005,metformin,metformin
NCT03086733,metformin,metformin
NCT03088813,irinotecan liposome,irinotecan
NCT03089203,cyclophosphamide,cyclophosphamide
NCT03092453,cyclophosphamide,cyclophosphamide
NCT03096782,cyclophosphamide,cyclophosphamide
NCT03098030,irinotecan,irinotecan
NCT03099356,cyclophosphamide,cyclophosphamide
NCT03099382,irinotecan,irinotecan
NCT03101579,dexamethasone,dexamethasone
NCT03101579,folic acid,trastuzumab-qyyp
NCT03103087,estradiol,estradiol
NCT03104842,carfilzomib,velcade thalidomide dexamethasone
NCT03104842,dexamethasone,dexamethasone
NCT03105336,cyclophosphamide,cyclophosphamide
NCT03106662,cyclophosphamide administration,cyclophosphamide
NCT03107182,dexamethasone,dexamethasone
NCT03107988,cyclophosphamide,cyclophosphamide
NCT03109873,metformin,metformin
NCT03110328,MK3475,pembrolizumab and berahyaluronidase alfa-pmph
NCT03110562,dexamethasone,dexamethasone
NCT03112174,venetoclax,trastuzumab-qyyp
NCT03113422,venetoclax,trastuzumab-qyyp
NCT03113500,cyclophosphamide,cyclophosphamide
NCT03113643,venetoclax,trastuzumab-qyyp
NCT03114527,everolimus,trastuzumab-qyyp
NCT03114865,dexamethasone,dexamethasone
NCT03116152,irinotecan,irinotecan
NCT03117517,metformin,metformin
NCT03117751,cyclophosphamide,cyclophosphamide
